Keyword,Like,Content,Author,Date,Repost,Commentaire
Cybersécurité en Afrique,95,"📅 Lors du premier panel de la 2ème journée du Cyber Africa Forum (CAF), intitulé ""Black Mirror : éthique de l’IA à l’ère de la désinformation"", une discussion captivante a eu lieu sur les implications éthiques de la rencontre entre la désinformation et l’intelligence artificielle (IA).

👉 Ce panel a réuni des intervenants de renom, offrant ainsi une perspective unique sur le sujet parmi lesquels figuraient :
◼ Dr, Président et Directeur Général de,

◼, Président du Groupe d'Experts de l'Union Africaine sur la Cybersécurité,

◼, Directeur Commercial chez,

◼ Jamal FOFANA, Associé au bureau, ainsi que, Chief Executive Officer de.

◼ Isabelle D. Directrice des Opérations, Directrice Juridique, - comme Modératrice.

👉 Les discussions ont permis d'éclairer les défis éthiques actuels et futurs liés à cette convergence, mettant en lumière l'importance cruciale de guider le développement de l'IA dans le respect des valeurs éthiques et des droits fondamentaux.

Dr👉 : ""𝐍𝐨𝐮𝐬 𝐝𝐞𝐯𝐨𝐧𝐬 𝐢𝐧𝐯𝐞𝐬𝐭𝐢𝐫 𝐝𝐚𝐧𝐬 𝐥𝐚 𝐟𝐨𝐫𝐦𝐚𝐭𝐢𝐨𝐧 𝐝𝐞𝐬 𝐣𝐞𝐮𝐧𝐞𝐬, 𝐥𝐞𝐬 𝐚𝐫𝐦𝐞𝐫 𝐝𝐞 𝐜𝐨𝐧𝐧𝐚𝐢𝐬𝐬𝐚𝐧𝐜𝐞𝐬 𝐞𝐭 𝐝𝐞 𝐜𝐨𝐦𝐩𝐞́𝐭𝐞𝐧𝐜𝐞𝐬 𝐩𝐨𝐮𝐫 𝐪𝐮'𝐢𝐥𝐬 𝐝𝐞𝐯𝐢𝐞𝐧𝐧𝐞𝐧𝐭 𝐥𝐞𝐬 𝐩𝐢𝐨𝐧𝐧𝐢𝐞𝐫𝐬 𝐝𝐞 𝐥𝐚 𝟒𝐞̀𝐦𝐞 𝐫𝐞́𝐯𝐨𝐥𝐮𝐭𝐢𝐨𝐧 𝐭𝐞𝐜𝐡𝐧𝐨𝐥𝐨𝐠𝐢𝐪𝐮𝐞. 𝐋'𝐞́𝐝𝐮𝐜𝐚𝐭𝐢𝐨𝐧 𝐞𝐭 𝐥'𝐚𝐮𝐭𝐨𝐧𝐨𝐦𝐢𝐬𝐚𝐭𝐢𝐨𝐧 𝐝𝐞𝐬 𝐣𝐞𝐮𝐧𝐞𝐬 𝐝𝐚𝐧𝐬 𝐥𝐞 𝐝𝐨𝐦𝐚𝐢𝐧𝐞 𝐝𝐞 𝐥𝐚 𝐭𝐞𝐜𝐡𝐧𝐨𝐥𝐨𝐠𝐢𝐞 𝐬𝐨𝐧𝐭 𝐞𝐬𝐬𝐞𝐧𝐭𝐢𝐞𝐥𝐥𝐞𝐬 𝐩𝐨𝐮𝐫 𝐚𝐬𝐬𝐮𝐫𝐞𝐫 𝐧𝐨𝐭𝐫𝐞 𝐚𝐯𝐞𝐧𝐢𝐫 𝐧𝐮𝐦𝐞́𝐫𝐢𝐪𝐮𝐞 𝐞𝐭 𝐩𝐫𝐨𝐬𝐩𝐞̀𝐫𝐞.""","SaH Analytics International
SaH Analytics International",2024-04-30 13:06:05,2 reposts,2 comments
Cybersécurité en Afrique,7,"hashtag
#informationsecuritymanagement","Frédéric Assima S. AZOTI
Frédéric Assima S. AZOTI",2024-04-30 13:06:05,2 reposts,2 comments
Cybersécurité en Afrique,7,"𝗡𝗼𝘂𝘃𝗲𝗮𝘂 𝗕𝗮𝗿𝗼𝗺𝗲̀𝘁𝗿𝗲 𝗱𝗲 𝗹𝗮 𝗖𝘆𝗯𝗲𝗿𝘀𝗲́𝗰𝘂𝗿𝗶𝘁𝗲́ 𝗲𝗻 𝗔𝗳𝗿𝗶𝗾𝘂𝗲 - 𝗗𝗶𝘀𝗽𝗼𝗻𝗶𝗯𝗹𝗲 𝗠𝗮𝗶𝗻𝘁𝗲𝗻𝗮𝗻𝘁 ! 🚀

Je suis ravi de partager avec vous la dernière publication du CESIA - CLUB D'EXPERTS DE LA SÉCURITÉ DE L'INFORMATION EN AFRIQUE , le Baromètre de la Cybersécurité en Afrique 2024.

Ce rapport approfondi offre une vue d’ensemble des tendances actuelles, des défis et des opportunités dans le domaine de la cybersécurité sur le continent africain.

🔍 𝗣𝗼𝗶𝗻𝘁𝘀 𝗖𝗹𝗲́𝘀 𝗮̀ 𝗗𝗲́𝗰𝗼𝘂𝘃𝗿𝗶𝗿 :

• Évolution des menaces cybernétiques : Quelles sont les nouvelles menaces et comment les entreprises africaines y font face ?

• Stratégies de défense : Les techniques et technologies à la pointe utilisées pour protéger les infrastructures critiques.

• Impact économique : Comment la cybersécurité influence-t-elle la croissance économique en Afrique ?

• Rôle de la formation et de l’innovation : L’importance de la formation en cybersécurité et comment l’innovation peut transformer nos défenses.


📥 𝗧𝗲́𝗹𝗲́𝗰𝗵𝗮𝗿𝗴𝗲𝘇 𝗴𝗿𝗮𝘁𝘂𝗶𝘁𝗲𝗺𝗲𝗻𝘁 𝗹𝗲 𝗿𝗮𝗽𝗽𝗼𝗿𝘁 𝗰𝗼𝗺𝗽𝗹𝗲𝘁 𝗽𝗼𝘂𝗿 𝘂𝗻𝗲 𝗮𝗻𝗮𝗹𝘆𝘀𝗲 𝗱𝗲́𝘁𝗮𝗶𝗹𝗹𝗲́𝗲 𝗲𝘁 𝗱𝗲𝘀 𝗶𝗻𝘀𝗶𝗴𝗵𝘁𝘀 𝗽𝗿𝗲́𝗰𝗶𝗲𝘂𝘅 :

Rejoignez-nous dans cette discussion essentielle pour renforcer la résilience numérique en Afrique. Votre feedback est précieux, partagez vos perspectives !




Mamadou KOR
Membre du CESIA","Mamadou KOR
Mamadou KOR",N/A,2 reposts,2 comments
Cybersécurité en Afrique,7,"🌍🔐 Data354 au Cyber Africa Forum : Partenaire engagé dans la cybersécurité et l'IA 🌍🔐

Nous sommes honorés d'avoir été partenaire de longue date du, un événement crucial dans le domaine de la cybersécurité et de l'intelligence artificielle en Afrique. L'édition de cette année a souligné l'importance cruciale de la gestion et de la sécurité des données dans le contexte actuel.

Un moment fort de notre participation a été la modération par notre CEO,, du panel sur l'E-santé et les défis de la gestion des données. Ce panel a mis en lumière les enjeux majeurs auxquels sont confrontés les acteurs de la santé et de la gestion des données, notamment en termes de confidentialité, de sécurité et de conformité réglementaire. L'échange d'idées et de bonnes pratiques lors de cet événement a été essentiel pour promouvoir des solutions innovantes et responsables dans ces domaines critiques.

Nos remerciements vont à l'endroit de,, du Dr.Directeur Général,Directeur Général,Directeur Général,Co-fondateur deet tous ceux qui ont contribué à faire de cet événement un succès et nous nous engageons à continuer d'être des acteurs clés pour un domaine de la cybersécurité et d'IA en Afrique de pointe, et inclusif.","data354
data354",N/A,9 reposts,3 comments
Cybersécurité en Afrique,6,"PARTIE 2 DE L'INTERVIEW 

@Africa CyberSecurity Mag 
@Christelle Houeto
@followers","Abraham D. Montang SADIO
Abraham D. Montang SADIO",N/A,9 reposts,3 comments
Cybersécurité en Afrique,6,"🎙️🔴
hashtag
#CyberInterview - Audio partie 2 : L'intélligence artificielle et la cybersécurité en Afrique

▶️Quels sont les impacts actuels et potentiels de l'intelligence artificielle sur la cybersécurité en Afrique ⁉️

🎙️📗Interview audio avec, consultant Ingénieur Génie Informatique certifié en Intelligence Artificielle.","Africa CyberSecurity Mag
Africa CyberSecurity Mag",2024-03-30 13:06:06,9 reposts,3 comments
Cybersécurité en Afrique,22,"CYBERSÉCURITÉ AU MAROC : UN MODÈLE EN AFRIQUE 🇲🇦 
L'article : https://lnkd.in/e7GKEyQ2 
hashtag
#maroc 
hashtag
#morocco 
hashtag
#cybersecurite 
hashtag
#cybersecurity","Maroc 🇲🇦
Maroc 🇲🇦",N/A,9 reposts,3 comments
Cybersécurité en Afrique,34,"Andreas Kleinschmidt 

Fière de représenter la jeunesse africaine dans le domaine de la cybersécurité grâce à l’initiative
de
. Merci à Siemens et Allianz pour leur soutien essentiel. Excitée de développer mes compétences et de contribuer à combler le fossé des professionnels qualifiés. Ensemble, façonnons l’avenir de la technologie en Afrique! 💪🌍🔐","Khadija Diouf
Khadija Diouf",2023-10-30 13:06:06,9 reposts,3 comments
Cybersécurité en Afrique,34,"The world needs more Cyber experts.
Young persons in Africa need more training and more job opportunities. People like Khady.
I recently met her in Dakar, Senegal. She is 21 years old, finishing university and on top of this she is getting additional training and networking
opportunities through an initiative from
: the program is called “African Girls Can Code”.

Private companies likeandare supporting financially and through
. One big focus of the program is
.

Khady is one of hundreds of women all over Africa taking part. She applied right away when she saw the advert. She wants to use the mentoring with accomplished women from all around the world in tech and cybersecurity, pick up additional skills at coding camps and build a professional life around IoT and Cybersecurity.

We hear lots of complaints from rich countries about the lack of skilled workers. Here is the solution: train them!","Andreas Kleinschmidt
Andreas Kleinschmidt",2023-10-30 13:06:06,9 reposts,3 comments
Cybersécurité en Afrique,9,"💠 ""Le sentiment d'être sécurisé vs Être sécurisé ou mieux Se sécuriser"" Clément Domingo : 
hashtag
#cybersecuritay
👉 https://lnkd.in/g9GVbNPr

💠 ""Ma
dans la
a surtout été possible grâce audont je suis fier d'être diplômé de la première promotion. ...""
👉

💠 ""🔵🔘 Après la République de
où j’ai formé les collaborateurs de l’
en décembre 2022, le
en mars 2023, c'est au tour de la République du
.""
👉

💠 ""Le Président de,, a rencontré aujourd'hui, Practice Manager, Digital Development à la Banque mondiale
. Au menu des échanges, les domaines de collaboration en cours et à venir, notamment en ce qui concerne les
numériques.""

👉

💠 ""👨🏾‍🏫 Du 11 au 13 novembre, en amont du
, des formations GRATUITES seront proposées""
👉

💠 ""22 octobre 2023 : Ouverture à Lomé de la première édition du LOME PEACE AND SECURITY FORUM.""
👉

🟢
🌍🎯 Les chemins du
de
à
VS le
.

La
de
by: Pour l'émergence du Continent
, faut-il réglementer ou laisser faire le marché de la
en cybersécurité ? .-

,","Chrysostome Nkoumbi-Samba, M.B.A 🟢 Officiel
Chrysostome Nkoumbi-Samba, M.B.A 🟢 Officiel",N/A,9 reposts,8 comments
Cybersécurité en Afrique,9,"hashtag
#Projectmanagement outcomes can shock you if you do not perpetually test your expected goals at every set milestone. Interesting this man is talking to colleagues who do not care about his activities...
hashtag
#workinginsilos.","Pauline Warui
Pauline Warui",2023-09-30 13:06:06,9 reposts,8 comments
Cybersécurité en Afrique,35,"Deloitte à l’Africa Tech Invest 2024, en République Démocratique du Congo 

Deloitte en République Démocratique du Congo est ravi d'annoncer son rôle de partenaire en tant que « Knowledge Partner » pour la 2ème édition de la conférence internationale « Africa Tech Invest ».

L’événement technologique axé sur la promotion de l'innovation, de l'investissement et de la collaboration au sein de l'écosystème technologique florissant de l'Afrique



Nos experts de Deloitte Afrique Francophone, dont,etseront présents en tant que panelistes pour partager leurs connaissances et perspectives tout en long de la conférence.

Mohamed Ali JEBIRA, Partner Advisory - Financial Services Sectors Leader, interviendra sous le thème « Numérisation du secteur public, collaboration secteur privé-public, potentiel transformateur, défis et opportunités en Afrique, stratégies pour une collaboration efficace » et « Libérer le potentiel : Explorer l'impact et l'éthique de l'intelligence artificielle »

Dhia Hachicha Directeur Cybersécurité & Cloud, interviendra en tant que Keynote speaker sous le thème « Cloud : Enjeux de digitalisation et de souveraineté/ retour des expériences de Cloud et Datacenter Nationaux »

Chantal Kalala Senior Manager - Advisory Services de Deloitte Afrique Francophone basé en RDC, interviendra sous le thème « Transformer les services financiers par l'innovation et l'inclusion »

Rejoignez-nous le jeudi 20 juin dans la Salle des Congrès, au Centre Financier de Kinshasa, en République Démocratique du Congo, pour explorer ces thèmes dynamiques et découvrir comment, ensemble, nous pouvons contribuer à la transformation de l’Afrique.","Deloitte
Deloitte",2024-06-30 13:06:06,9 reposts,8 comments
Cybersécurité en Afrique,35,"Deloitte à l’Africa Tech Invest 2024, en République Démocratique du Congo 

Deloitte en République Démocratique du Congo est ravi d'annoncer son rôle de partenaire en tant que « Knowledge Partner » pour la 2ème édition de la conférence internationale « Africa Tech Invest ».

L’événement technologique axé sur la promotion de l'innovation, de l'investissement et de la collaboration au sein de l'écosystème technologique florissant de l'Afrique



Nos experts de Deloitte Afrique Francophone, dont,etseront présents en tant que panelistes pour partager leurs connaissances et perspectives tout en long de la conférence.

Mohamed Ali JEBIRA, Partner Advisory - Financial Services Sectors Leader, interviendra sous le thème « Numérisation du secteur public, collaboration secteur privé-public, potentiel transformateur, défis et opportunités en Afrique, stratégies pour une collaboration efficace » et « Libérer le potentiel : Explorer l'impact et l'éthique de l'intelligence artificielle »

Dhia Hachicha Directeur Cybersécurité & Cloud, interviendra en tant que Keynote speaker sous le thème « Cloud : Enjeux de digitalisation et de souveraineté/ retour des expériences de Cloud et Datacenter Nationaux »

Chantal Kalala Senior Manager - Advisory Services de Deloitte Afrique Francophone basé en RDC, interviendra sous le thème « Transformer les services financiers par l'innovation et l'inclusion »

Rejoignez-nous le jeudi 20 juin dans la Salle des Congrès, au Centre Financier de Kinshasa, en République Démocratique du Congo, pour explorer ces thèmes dynamiques et découvrir comment, ensemble, nous pouvons contribuer à la transformation de l’Afrique.","Deloitte
Deloitte",2024-06-30 13:06:07,9 reposts,8 comments
Sécurité informatique Afrique,7,"Nous savons que la sécurité de vos données est une préoccupation constante pour vous et votre entreprise, c'est pourquoi nous sommes là pour vous aider à protéger vos biens et votre personnel. Profitez de votre temps libre en sachant que nous sommes là pour veiller sur la sécurité de vos données 24 heures sur 24, 7 jours sur 7. 🔐✅
_______________

,
,
,","CloudOver
CloudOver",2023-12-30 13:06:56,3 reposts,5 comments
Sécurité informatique Afrique,2,"Maximiser votre Visibilité Professionnelle avec LinkedIn Ads
hashtag#Recrutement, hashtag#rh, hashtag#ressourceshumaines, hashtag#emploi, hashtag#intelligenceémotionnelle, hashtag#formation, hashtag#alternance, hashtag#stratégie, hashtag#agriculture, hashtag#immobilier, hashtag#créativité, hashtag#banque, hashtag#marketingnumérique, hashtag#cdi, hashtag#énergie, hashtag#environnement, hashtag#comptabilité, hashtag#travail, hashtag#vente, hashtag#informatique, hashtag#réseauxsociaux, hashtag#économie, hashtag#afrique, hashtag#apprentissage, hashtag#france, hashtag#recherche, hashtag#bienveillance, hashtag#formationprofessionnelle, hashtag#embauche, hashtag#agroalimentaire, hashtag#btp, hashtag#journalisme, hashtag#communicationdigitale, hashtag#entreprendre, hashtag#chantier, hashtag#droit, hashtag#sécurité, hashtag#developpementpersonnel, hashtag#pme, hashtag#accompagnement, hashtag#télétravail, hashtag#transformationdigitale, hashtag#confianceensoi, hashtag#notaire, hashtag#partage, hashtag#reconversion, hashtag#commerciaux, hashtag#autisme, hashtag#investir, hashtag#positiveattitude","Boun B.
Boun B.",2024-04-30 13:06:56,2 reposts,1 comment
Sécurité informatique Afrique,2,"Maximiser votre Visibilité Professionnelle avec LinkedIn Ads
hashtag#Recrutement, hashtag#rh, hashtag#ressourceshumaines, hashtag#emploi, hashtag#intelligenceémotionnelle, hashtag#formation, hashtag#alternance, hashtag#stratégie, hashtag#agriculture, hashtag#immobilier, hashtag#créativité, hashtag#banque, hashtag#marketingnumérique, hashtag#cdi, hashtag#énergie, hashtag#environnement, hashtag#comptabilité, hashtag#travail, hashtag#vente, hashtag#informatique, hashtag#réseauxsociaux, hashtag#économie, hashtag#afrique, hashtag#apprentissage, hashtag#france, hashtag#recherche, hashtag#bienveillance, hashtag#formationprofessionnelle, hashtag#embauche, hashtag#agroalimentaire, hashtag#btp, hashtag#journalisme, hashtag#communicationdigitale, hashtag#entreprendre, hashtag#chantier, hashtag#droit, hashtag#sécurité, hashtag#developpementpersonnel, hashtag#pme, hashtag#accompagnement, hashtag#télétravail, hashtag#transformationdigitale, hashtag#confianceensoi, hashtag#notaire, hashtag#partage, hashtag#reconversion, hashtag#commerciaux, hashtag#autisme, hashtag#investir, hashtag#positiveattitude","Boun B.
Boun B.",2024-04-30 13:06:57,2 reposts,1 comment
Cyber menaces Afrique,63,"Le Cyber Africa Forum (CAF) est le carrefour des idées et des innovations en matière de cybersécurité et d'intelligence artificielle en 
hashtag
#Afrique. data354 est ravi de participer à cet événement de premier plan en tant que Partenaire de longue date, pour la 4e édition qui se déroulera les 15 et 16 avril au Sofitel Abidjan Hôtel Ivoire. 🌍🔐

Cette année, le forum aborde les défis pressants de la cybersécurité et de l'IA avec le thème : ""Risques cybernétiques et intelligence artificielle : quelles stratégies de défense face aux nouvelles menaces numériques ?"" Une opportunité unique de réunir les acteurs clés pour des échanges constructifs. 💼💡

data354 est également fier de rejoindre l'initiative
dans le but de soutenir toutes les actions en faveur de l’intégration des femmes dans la cybersécurité et dans le secteur numérique au sens large. Rejoignez-nous pour ces synergies transformatrices au Sofitel Ivoire Abidjan! 👩‍💼👩‍💻","data354
data354",N/A,7 reposts,3 comments
Cyber menaces Afrique,9,"We are delighted to present the newest edition of La Cybergazette, your essential source for French cybersecurity news on LinkedIn! La Cybergazette is tailored for our French-speaking audience, offering the latest insights, updates, and discussions in the dynamic field of cybersecurity – all in French. If you are passionate about cybersecurity, La Cybergazette is the perfect resource to keep you informed. Thank you for your ongoing support.","Advens
Advens",N/A,7 reposts,1 comment
Cyber menaces Afrique,52,"The threat extends to the periphery of the banking sector. Fintechs are becoming prime targets for cybercriminals.
Follow us... Our recent study on cyber resilience of the banking sector in Africa will be available soon.

La menace s'étend à la périphérie du secteur bancaire. Les fintechs deviennent des cibles privilégiées des cybercriminels.
Suivez-nous…Notre toute nouvelle étude sur la cyber-résilience du secteur bancaire en Afrique sera gratuitement accessible prochainement.

,
,
,
,
,
,
,
,
.","Ali EL AZZOUZI
Ali EL AZZOUZI",2023-09-30 13:07:45,7 reposts,1 comment
Cyber menaces Afrique,52,"Stratégies pour Renforcer la Cybersécurité en Afrique 🌍

hashtag
#cybersécurité 
hashtag
#Afrique 
hashtag
#sécurité 
hashtag
#technologie 
hashtag
#cyberattaques 
hashtag","Fréjus HOUNGNIBO
Fréjus HOUNGNIBO",2024-07-30 11:07:45,7 reposts,1 comment
Cyber menaces Afrique,20,"🥷 « La question n’est pas : est ce que ça va arriver ? Mais, quand ? » 

L'Afrique est de plus en plus sous la menace des cyberattaques. Alors beaucoup, comme, prônent la vigilance.

Le continent a connu l’augmentation la plus élevée au monde de cyberattaques hebdomadaires : + 23 % en glissement annuel.

Et au delà de l'ampleur, elles ont gagné en complexité : les menaces évoluent, et deviennent aussi nombreuses qu'indiscernables.

Recours croissants aux rançongiciels, escroqueries aux faux ordres de virement, arnaques en ligne... il est de plus en plus difficile de se protéger.

Dernière forme d'escroquerie en ligne : le ""dépeçage de cochon"". La victime se fait lentement ""engraisser"", amadouer par un prétendu expert en investissement, qui disparaît une fois l'argent prélevé.","Jeune Afrique
Jeune Afrique",2024-05-30 13:07:45,5 reposts,3 comments
Cyber menaces Afrique,25,"African Cybersecurity Market, première entreprise guinéenne spécialisée en cybersécurité vient de publier son rapport 2023 sur les cyber menaces en Afrique. Il met en évidence les secteurs les plus touchés par les cyberattaques, les principaux groupes de cybercriminels, leurs méthodes d'attaques avec une cartographie des zones africaines les plus ciblées par des cyberattaques.

Un document intéressant que vous pouvez consulter ici ⤵️","Facely Konaté
Facely Konaté",2023-08-30 13:07:46,3 reposts,2 comments
Cyber menaces Afrique,4,L’Afrique connaît une montée en puissance du risque cyber mais il manque des ressources humaines formées pour le contrer.,"Philippe LEMASSON
Philippe LEMASSON",2024-03-30 13:07:46,3 reposts,2 comments
Cyber menaces Afrique,2,"Afrique / Cybersécurité : Les attaques par e-mail, plus grande cyber menace pour les entreprises (rapport).
https://lnkd.in/dMmFD_E8","Digital Magazine Burkina Faso
Digital Magazine Burkina Faso",2023-08-30 13:07:46,3 reposts,2 comments
Cyber menaces Afrique,8,"En Afrique, la question de la cybersécurité occupe une place de plus en plus importante. Avec la croissance rapide de la transformation numérique sur le continent, la mise en place de mesures solides contre les cybermenaces est devenue cruciale. La cybersécurité en Afrique doit donc faire face à des risques majeurs d'ordre économique, politique et sociétal.

Le livre blanc d’met en lumière ces différents risques.

Vous pouvez télécharger et consulter l'intégralité du livre blanc ''𝐂𝐲𝐛𝐞𝐫𝐬𝐞́𝐜𝐮𝐫𝐢𝐭𝐞́ 𝐞𝐧 𝐀𝐟𝐫𝐢𝐪𝐮𝐞'' en suivant ce lien 👉 :","Hyperborée Advisors
Hyperborée Advisors",2024-01-30 13:07:46,3 reposts,2 comments
Cyber menaces Afrique,1,"🌍🛡️ L'opération ""Africa Cyber Surge II"" : un partenariat entre Interpol et Kaspersky pour renforcer la 
hashtag
#Cybersécurité en 
hashtag
#Afrique. 
Objectif : lutter contre les menaces en ligne et les activités cybercriminelles. Ensemble, ils forment les forces de l'ordre et les agences gouvernementales pour mieux protéger les infrastructures critiques et prévenir la
. Une initiative cruciale pour un continent de plus en plus connecté.

Source:

💻👮‍♂️🔒","OGSBC
OGSBC",2023-08-30 13:07:46,3 reposts,2 comments
